Employee_ID,Employee_Name,Email,Age,Gender,City,Department,Job_Role,Monthly_Income,Years_At_Company,Job_Satisfaction,Work_Life_Balance,Distance_From_Home,Overtime,Promotion_Last_5_Years,Attrition
1,Harsha Sharma,harsha.sharma1@company.com,40,Female,Chennai,HR,Manager,25137,8,1,3,12,Yes,No,Yes
2,Sangeetha Arora,sangeetha.arora2@company.com,56,Female,Chennai,IT,Team Lead,156502,23,1,4,36,Yes,No,Yes
3,Uday Thakur,uday.thakur3@company.com,42,Female,Pune,IT,Manager,130125,10,3,3,7,No,Yes,No
4,Lokesh Shukla,lokesh.shukla4@company.com,59,Male,Hyderabad,Finance,Analyst,97504,5,4,2,20,No,No,Yes
5,Aniket Banerjee,aniket.banerjee5@company.com,21,Female,Delhi,HR,Team Lead,116373,11,5,4,11,No,No,No
6,Amrita Ghosh,amrita.ghosh6@company.com,26,Male,Mumbai,Marketing,Executive,115019,21,3,2,13,No,Yes,Yes
7,Yash Solanki,yash.solanki7@company.com,52,Female,Hyderabad,Sales,Developer,128614,22,1,3,19,Yes,No,Yes
8,Tarun Kumar,tarun.kumar8@company.com,31,Male,Delhi,Operations,Executive,116326,12,5,3,20,No,No,No
9,Nikitha Arora,nikitha.arora9@company.com,38,Male,Delhi,Marketing,Team Lead,50688,5,3,5,29,No,Yes,No
10,Krithi Rana,krithi.rana10@company.com,56,Female,Bangalore,IT,Developer,118887,1,5,2,13,No,No,Yes
11,Chaitanya Khanna,chaitanya.khanna11@company.com,48,Male,Chennai,Sales,Manager,43661,24,5,5,20,No,No,No
12,Monika Ghosh,monika.ghosh12@company.com,22,Female,Bangalore,Sales,Team Lead,83851,1,3,3,33,Yes,No,Yes
13,Divya Bedi,divya.bedi13@company.com,54,Male,Mumbai,IT,Developer,121470,22,4,3,19,No,Yes,No
14,Trisha Nair,trisha.nair14@company.com,23,Female,Pune,Sales,Consultant,174210,7,3,3,27,Yes,Yes,No
15,Vikram Shukla,vikram.shukla15@company.com,60,Male,Pune,Sales,Team Lead,71461,25,5,5,8,No,No,No
16,Srikanth Tripathi,srikanth.tripathi16@company.com,41,Female,Pune,Operations,Manager,86310,1,5,3,19,No,No,No
17,Disha Pillai,disha.pillai17@company.com,52,Female,Delhi,IT,Executive,173010,17,2,5,3,Yes,No,Yes
18,Mukesh Verma,mukesh.verma18@company.com,32,Female,Delhi,Marketing,Analyst,29344,1,5,4,1,No,No,No
19,Yash Jain,yash.jain19@company.com,52,Female,Mumbai,Finance,Team Lead,75181,0,4,1,33,No,No,Yes
20,Aniket Patel,aniket.patel20@company.com,32,Male,Pune,HR,Consultant,99726,2,2,4,1,No,Yes,Yes
21,Deepika Chatterjee,deepika.chatterjee21@company.com,23,Female,Delhi,HR,Team Lead,178350,19,3,2,11,No,No,Yes
22,Reshma Tripathi,reshma.tripathi22@company.com,39,Female,Bangalore,Operations,Consultant,174490,7,3,5,28,No,No,No
23,Vijay Sethi,vijay.sethi23@company.com,54,Female,Delhi,Sales,Team Lead,102711,23,1,3,40,Yes,Yes,Yes
24,Prakash Rastogi,prakash.rastogi24@company.com,41,Male,Delhi,IT,Team Lead,120608,15,1,5,25,No,No,Yes
25,Amit Kohli,amit.kohli25@company.com,38,Female,Pune,Operations,Analyst,99868,1,1,4,4,No,No,Yes
26,Chandu Das,chandu.das26@company.com,46,Female,Hyderabad,Sales,Analyst,161898,0,4,2,37,Yes,No,Yes
27,Nitin Chatterjee,nitin.chatterjee27@company.com,41,Female,Hyderabad,Marketing,Manager,114890,18,2,4,23,Yes,No,Yes
28,Arjun Vyas,arjun.vyas28@company.com,25,Female,Pune,Marketing,Manager,71828,15,3,1,6,No,No,Yes
29,Gayathri Arora,gayathri.arora29@company.com,56,Female,Chennai,Sales,Manager,31391,14,2,1,28,No,Yes,Yes
30,Karthik Gowda,karthik.gowda30@company.com,23,Male,Mumbai,IT,Developer,101226,7,5,5,14,No,No,No
31,Ravi Gupta,ravi.gupta31@company.com,32,Female,Mumbai,Sales,Executive,43169,1,1,5,24,No,Yes,Yes
32,Priya Mehta,priya.mehta32@company.com,52,Female,Bangalore,IT,Consultant,51725,10,4,3,5,No,No,No
33,Disha Reddy,disha.reddy33@company.com,54,Male,Hyderabad,HR,Analyst,31410,0,4,2,11,No,No,Yes
34,Ajay Banerjee,ajay.banerjee34@company.com,37,Male,Pune,IT,Team Lead,128860,16,4,3,2,No,No,No
35,Rahul Pawar,rahul.pawar35@company.com,25,Female,Hyderabad,Operations,Analyst,28692,24,1,2,40,No,No,Yes
36,Sneha Agarwal,sneha.agarwal36@company.com,43,Female,Delhi,HR,Manager,118930,10,4,2,22,No,No,Yes
37,Amit Naidu,amit.naidu37@company.com,40,Female,Bangalore,Sales,Developer,153118,11,5,2,29,Yes,Yes,Yes
38,Disha Bhardwaj,disha.bhardwaj38@company.com,23,Male,Chennai,Marketing,Analyst,60565,16,2,4,2,No,Yes,Yes
39,Yamini Reddy,yamini.reddy39@company.com,52,Female,Delhi,Finance,Analyst,65882,23,3,4,35,Yes,Yes,No
40,Ajith Gupta,ajith.gupta40@company.com,27,Male,Pune,HR,Manager,142400,7,1,3,27,No,No,Yes
41,Nisha Joshi,nisha.joshi41@company.com,37,Female,Chennai,Sales,Manager,67073,20,5,1,25,No,Yes,Yes
42,Chaitanya Pillai,chaitanya.pillai42@company.com,27,Female,Chennai,Finance,Consultant,176388,19,4,3,35,No,No,No
43,Shravya Patel,shravya.patel43@company.com,60,Male,Bangalore,HR,Consultant,126298,3,5,3,38,No,No,No
44,Namrata Rastogi,namrata.rastogi44@company.com,57,Male,Bangalore,IT,Consultant,119062,13,4,4,25,Yes,No,No
45,Krithi Sharma,krithi.sharma45@company.com,24,Female,Mumbai,Sales,Team Lead,60995,3,3,5,6,No,No,No
46,Jyothi Mukherjee,jyothi.mukherjee46@company.com,42,Male,Chennai,IT,Consultant,61832,4,3,2,25,No,No,Yes
47,Namrata Malhotra,namrata.malhotra47@company.com,50,Female,Mumbai,Operations,Manager,140575,4,2,5,17,No,No,Yes
48,Rakesh Kamble,rakesh.kamble48@company.com,32,Female,Chennai,Finance,Consultant,44509,8,3,1,14,No,No,Yes
49,Deeksha Kamble,deeksha.kamble49@company.com,25,Female,Hyderabad,Sales,Team Lead,98278,4,5,2,19,No,No,Yes
50,Bhavya Reddy,bhavya.reddy50@company.com,48,Female,Chennai,Finance,Team Lead,30940,25,4,3,28,No,No,No
51,Mukesh Menon,mukesh.menon51@company.com,25,Male,Pune,HR,Manager,171267,12,4,4,28,Yes,No,No
52,Madhu Deshmukh,madhu.deshmukh52@company.com,23,Female,Chennai,Operations,Developer,130158,5,2,1,2,Yes,No,Yes
53,Sangeetha Thakur,sangeetha.thakur53@company.com,59,Male,Delhi,Finance,Executive,72433,5,2,2,5,No,No,Yes
54,Karthik Ghosh,karthik.ghosh54@company.com,22,Male,Hyderabad,Operations,Team Lead,57253,8,4,2,12,No,No,Yes
55,Neha Malhotra,neha.malhotra55@company.com,36,Female,Chennai,HR,Analyst,118094,3,4,1,39,No,No,Yes
56,Amrita Chatterjee,amrita.chatterjee56@company.com,50,Female,Delhi,Sales,Team Lead,130449,19,2,2,38,No,No,Yes
57,Balaji Pandey,balaji.pandey57@company.com,51,Female,Hyderabad,Operations,Consultant,177132,23,1,2,5,No,No,Yes
58,Gayathri Mukherjee,gayathri.mukherjee58@company.com,48,Male,Mumbai,HR,Analyst,158003,22,4,2,10,No,No,Yes
59,Sandeep Joshi,sandeep.joshi59@company.com,21,Female,Chennai,Finance,Executive,50030,20,2,5,39,No,No,Yes
60,Aishwarya Khanna,aishwarya.khanna60@company.com,60,Female,Bangalore,HR,Developer,71589,15,1,2,13,Yes,No,Yes
61,Monika Kamble,monika.kamble61@company.com,56,Male,Hyderabad,Finance,Analyst,38384,4,4,5,36,No,No,No
62,Hari Mukherjee,hari.mukherjee62@company.com,34,Male,Delhi,Marketing,Team Lead,71656,2,1,4,18,No,No,Yes
63,Tarun Shukla,tarun.shukla63@company.com,45,Female,Chennai,Finance,Developer,168421,21,3,1,4,No,No,Yes
64,Janani Soni,janani.soni64@company.com,33,Female,Chennai,Sales,Executive,83739,23,3,1,36,Yes,No,Yes
65,Srikanth Sharma,srikanth.sharma65@company.com,46,Female,Mumbai,Sales,Team Lead,178908,20,4,1,16,No,No,Yes
66,Ravi Rastogi,ravi.rastogi66@company.com,58,Female,Hyderabad,IT,Executive,113185,8,1,4,31,Yes,No,Yes
67,Aarti Saxena,aarti.saxena67@company.com,41,Male,Hyderabad,HR,Executive,172686,16,1,2,39,No,No,Yes
68,Bharath Bhardwaj,bharath.bhardwaj68@company.com,42,Male,Chennai,IT,Consultant,135160,1,5,2,1,No,No,Yes
69,Amit Mishra,amit.mishra69@company.com,34,Male,Pune,IT,Developer,77559,15,1,4,24,No,Yes,Yes
70,Shalini Malhotra,shalini.malhotra70@company.com,25,Female,Hyderabad,HR,Consultant,54051,25,2,5,19,No,Yes,Yes
71,Amar Mukherjee,amar.mukherjee71@company.com,51,Female,Pune,HR,Analyst,47679,8,2,2,31,No,No,Yes
72,Abhishek Menon,abhishek.menon72@company.com,22,Male,Hyderabad,IT,Team Lead,56410,14,1,4,8,Yes,No,Yes
73,Ashok Kohli,ashok.kohli73@company.com,24,Male,Chennai,HR,Analyst,141487,1,4,3,4,No,No,No
74,Priya Agarwal,priya.agarwal74@company.com,57,Male,Mumbai,Marketing,Developer,137886,12,3,4,10,Yes,No,No
75,Rajesh Yadav,rajesh.yadav75@company.com,39,Female,Bangalore,Marketing,Consultant,141062,25,3,2,22,Yes,No,Yes
76,Mamatha Bedi,mamatha.bedi76@company.com,37,Male,Bangalore,Marketing,Executive,51370,13,4,4,12,No,No,No
77,Meera Khanna,meera.khanna77@company.com,39,Male,Hyderabad,IT,Developer,161576,22,4,4,30,Yes,No,No
78,Rahul Mukherjee,rahul.mukherjee78@company.com,48,Female,Bangalore,HR,Developer,46376,18,5,4,14,No,No,No
79,Pradeep Yadav,pradeep.yadav79@company.com,39,Male,Mumbai,Finance,Consultant,167575,0,5,4,38,No,No,No
80,Vidya Rastogi,vidya.rastogi80@company.com,32,Male,Delhi,Finance,Consultant,39696,4,3,2,15,No,No,Yes
81,Vaishnavi Varma,vaishnavi.varma81@company.com,54,Male,Bangalore,HR,Developer,29558,25,3,2,18,No,No,Yes
82,Jagadeesh Joshi,jagadeesh.joshi82@company.com,26,Female,Hyderabad,Finance,Team Lead,141426,25,3,5,20,No,Yes,No
83,Namrata Kapoor,namrata.kapoor83@company.com,54,Female,Delhi,IT,Team Lead,39491,18,1,3,10,No,No,Yes
84,Nandhini Joshi,nandhini.joshi84@company.com,27,Female,Mumbai,Marketing,Developer,136657,4,5,4,23,No,No,No
85,Divya Pawar,divya.pawar85@company.com,35,Female,Hyderabad,Sales,Analyst,63786,3,2,4,10,No,No,Yes
86,Harini Khanna,harini.khanna86@company.com,36,Female,Hyderabad,IT,Consultant,134424,5,2,2,11,Yes,Yes,Yes
87,Shilpa Naidu,shilpa.naidu87@company.com,21,Male,Pune,HR,Consultant,99902,10,4,5,2,No,No,No
88,Namrata Rawat,namrata.rawat88@company.com,44,Female,Delhi,Sales,Manager,45224,10,3,1,22,Yes,Yes,Yes
89,Aditya Vyas,aditya.vyas89@company.com,37,Female,Hyderabad,Sales,Analyst,177065,7,1,1,39,No,No,Yes
90,Nisha Sethi,nisha.sethi90@company.com,23,Female,Mumbai,IT,Executive,96529,2,4,5,33,No,No,No
91,Akhil Kohli,akhil.kohli91@company.com,24,Male,Delhi,IT,Executive,58221,16,3,5,32,No,No,No
92,Prakash Malhotra,prakash.malhotra92@company.com,59,Female,Mumbai,HR,Analyst,72030,3,5,4,6,Yes,No,No
93,Pooja Reddy,pooja.reddy93@company.com,21,Female,Hyderabad,Finance,Consultant,87131,15,4,2,33,No,No,Yes
94,Vaishnavi Gupta,vaishnavi.gupta94@company.com,53,Female,Hyderabad,HR,Team Lead,151373,20,2,4,39,Yes,No,Yes
95,Arjun Rastogi,arjun.rastogi95@company.com,31,Male,Hyderabad,Sales,Consultant,78845,13,5,2,38,No,No,Yes
96,Nisha Varma,nisha.varma96@company.com,26,Female,Pune,Operations,Manager,62696,19,4,2,1,No,No,Yes
97,Anil Joshi,anil.joshi97@company.com,41,Male,Hyderabad,Operations,Executive,88560,14,1,2,2,No,No,Yes
98,Dinesh Arora,dinesh.arora98@company.com,33,Female,Pune,Marketing,Manager,142142,5,5,2,17,No,No,Yes
99,Ganesh Nigam,ganesh.nigam99@company.com,39,Male,Delhi,Finance,Team Lead,55674,10,1,2,5,No,No,Yes
100,Preethi Rastogi,preethi.rastogi100@company.com,34,Female,Delhi,Marketing,Executive,86795,11,5,4,3,No,No,No
